split,accuracy,f1,auc_roc
all_features,0.9338890485771774,0.24342105263157895,0.7398295873607392
drop_avg_weight_height,0.9338890485771774,0.24342105263157895,0.7398295873607392
drop_bmi_keep_weight_height,0.9143432020695602,0.21164021164021163,0.6950021350102868
drop_all_body_size_except_bmi,0.9364759988502444,0.13333333333333333,0.7316146500524049
