feature,missing,non_positive,min,median,max,corr_with_stroke,mean_non_stroke,mean_stroke
avg_ap_hi,3959,0,110.0,122.0,150.0,-0.030323507821722714,126.34649910233394,124.5945945945946
avg_ap_lo,3959,0,40.0,80.0,386.0,-0.029628604921719027,97.28815080789946,86.45945945945945
heart_cholesterol,2044,24,0.0,217.5,392.0,-0.04509198107650955,218.7907025409555,207.11667716465752
bmi,0,201,0.0,27.7,97.6,-0.051790590095833935,27.868422135363097,25.576305220883533
