iter	Logloss
242	0.3255248479
243	0.3253303594
244	0.3246053112
245	0.3241847848
246	0.3235167723
247	0.3232032807
248	0.3227481272
249	0.3221239326
250	0.3217922852
251	0.3213914254
252	0.3212236765
253	0.3203210308
254	0.3197703971
255	0.319250286
256	0.3186915373
257	0.3184274031
258	0.3181740223
259	0.3178944056
260	0.317492326
261	0.3171251663
262	0.316416426
263	0.3159434277
264	0.3155077031
265	0.3152105956
266	0.3150410337
267	0.3145562495
268	0.3135321689
269	0.313054202
270	0.3127438706
271	0.3123226197
272	0.3118945792
273	0.3117631487
274	0.3114441963
275	0.3111438422
276	0.3107776422
277	0.3102145722
278	0.3098888984
279	0.309527245
280	0.3089778852
281	0.3084332268
282	0.3082831778
283	0.307954258
284	0.3071962368
285	0.3068512386
286	0.3066263929
287	0.3064789831
288	0.3063102571
289	0.3060711937
290	0.3057674403
291	0.3056132427
292	0.3052653643
293	0.3045779878
294	0.3040388858
295	0.3038374489
296	0.3035825695
297	0.3032253304
298	0.3026786465
299	0.3023239726
300	0.3019504108
301	0.3018126033
302	0.3009105131
303	0.3001371526
304	0.2997459436
305	0.2995003972
306	0.2988046139
307	0.2985404914
308	0.2983192515
309	0.2979672125
310	0.2974494808
311	0.2970825219
312	0.2961562362
313	0.2952590596
314	0.2948985833
315	0.2941657349
316	0.2938212445
317	0.2935872256
318	0.2929503002
319	0.2925650985
320	0.2917383066
321	0.291582418
322	0.2912478309
323	0.2909545788
324	0.2904765847
325	0.2899698829
326	0.289235135
327	0.2886887572
328	0.288323284
329	0.2879625665
330	0.2877705617
331	0.287365397
332	0.286676302
333	0.2859631066
334	0.2857071882
335	0.2852894935
336	0.2847000449
337	0.2843972345
338	0.2833076312
339	0.2831819961
340	0.2821190594
341	0.2817009449
342	0.2814699963
343	0.2811685175
344	0.2809144058
345	0.2806682742
346	0.2804566811
347	0.2799072988
348	0.2794549314
349	0.2789812988
350	0.2784409724
351	0.2780481935
352	0.277431126
353	0.2773178413
354	0.2770526067
355	0.2767516732
356	0.2762239488
357	0.275892647
358	0.2754580076
359	0.2751431264
360	0.2749526033
361	0.2747472973
362	0.2741848149
363	0.2734837397
364	0.2732603203
365	0.2724903365
366	0.2720126091
367	0.2716370176
368	0.2713721634
369	0.2711348802
370	0.2709173645
371	0.2700913195
372	0.269645419
373	0.269279897
374	0.2689987354
375	0.2686270365
376	0.2683514235
377	0.26808325
378	0.2673395354
379	0.2672041546
380	0.266766652
381	0.2665800675
382	0.26609776
383	0.2656709631
384	0.2653707787
385	0.2649854135
386	0.2643247387
387	0.2640270293
388	0.2638694427
389	0.263573891
390	0.2633703852
391	0.26302786
392	0.2627930663
393	0.2621688197
394	0.2619822226
395	0.2616974058
396	0.2612836108
397	0.2611270108
398	0.2609689908
399	0.2602817269
400	0.260065463
401	0.2597464008
402	0.2594764448
403	0.2588811686
404	0.258339374
405	0.2577355896
406	0.2573952284
407	0.2570206123
408	0.2567820861
409	0.2564217207
410	0.2561010046
411	0.2555015888
412	0.2548501361
413	0.254051267
414	0.2538740202
415	0.2535794472
416	0.2531982526
417	0.2523181585
418	0.251958792
419	0.251761269
420	0.2515991193
421	0.2514541555
422	0.2512590847
423	0.2509289009
424	0.2503076611
425	0.2501883704
426	0.2498772112
427	0.2496005913
428	0.2492695447
429	0.2490595725
430	0.2488308213
431	0.2483261882
432	0.2480968164
433	0.2479906367
434	0.2476367996
435	0.2469639414
436	0.2468500219
437	0.2464353832
438	0.2461205785
439	0.2456514445
440	0.2452855351
441	0.2448535274
442	0.2446310974
443	0.2444233911
444	0.2441726468
445	0.2439561091
446	0.2433732833
447	0.2431666051
448	0.2428642534
449	0.2425967989
450	0.2422502643
451	0.2417646196
452	0.2414595323
453	0.2412127738
454	0.2409686736
455	0.2407840098
456	0.2403357486
457	0.2400535168
458	0.2399100701
459	0.2397656502
460	0.2394958629
461	0.2392268171
462	0.2389714386
463	0.238502545
464	0.2381265598
465	0.2378781696
466	0.2377798443
467	0.2374012956
468	0.237131822
469	0.2370034187
470	0.2365888212
471	0.2364297425
472	0.2361709657
473	0.2357658939
474	0.2356098604
475	0.2353532469
476	0.2351403632
477	0.2347390272
478	0.2340513345
479	0.2337740201
480	0.2335806001
481	0.2333520993
482	0.2327386892
483	0.2323779569
484	0.2321786518
485	0.2319489397
486	0.2314362633
487	0.2304761302
488	0.2302478877
489	0.229953003
490	0.2298014954
491	0.2290531565
492	0.2285289542
493	0.2283264027
494	0.2277114218
495	0.2272707047
496	0.2267649046
497	0.2264541779
498	0.2259448828
499	0.2253964298
500	0.2250428324
501	0.2242012281
502	0.2236605588
503	0.2231157521
504	0.2228973093
505	0.2224939584
506	0.2222340423
507	0.2219371992
508	0.2215651809
509	0.2213347946
510	0.2208990901
511	0.2204254585
512	0.2202024222
513	0.2196711477
514	0.2194960485
515	0.2188357778
516	0.2182715638
517	0.2177999505
518	0.2174696343
519	0.2170295202
520	0.2167104849
521	0.2164499373
522	0.2157928088
523	0.2149895958
524	0.2145039012
525	0.2137160434
526	0.2131968677
527	0.2128932993
528	0.2126083983
529	0.2121341576
530	0.2116256917
531	0.2112880543
532	0.2108146236
533	0.2105751778
534	0.2100804608
535	0.2095680893
536	0.2090130209
537	0.2086445915
538	0.2081781178
539	0.2080041815
540	0.2077907109
541	0.2074130572
542	0.2071769898
543	0.2067069437
544	0.2065124709
545	0.206330896
546	0.2057919775
547	0.2055218521
548	0.205180971
549	0.2048759323
550	0.2045646966
551	0.2042564402
552	0.2037899732
553	0.2032833243
554	0.2029259283
555	0.2026591895
556	0.2020472334
557	0.2017345131
558	0.2014184041
559	0.2011081019
560	0.2007857248
561	0.20060823
562	0.2000984436
563	0.1993601707
564	0.1991601277
565	0.1987372136
566	0.1984776662
567	0.1981951895
568	0.1977147476
569	0.1973209835
570	0.197043634
571	0.1968482657
572	0.1962131163
573	0.1956752865
574	0.1952421311
575	0.1951132488
576	0.1945009679
577	0.1940864772
578	0.1936081657
579	0.1934296805
580	0.1929655344
581	0.1927598998
582	0.1923508846
583	0.1919408537
584	0.1917411398
585	0.1912200164
586	0.1909574383
587	0.1907517856
588	0.1901902267
589	0.1897631546
590	0.1890935262
591	0.1888625439
592	0.1882947315
593	0.1880032027
594	0.1875922156
595	0.1872687452
596	0.1868842018
597	0.1865600086
598	0.1860921708
599	0.185744765
600	0.1850518732
601	0.1846181866
602	0.1841332932
603	0.1837847745
604	0.1835816845
605	0.1833415201
606	0.1829337318
607	0.1827566874
608	0.1822848431
609	0.1820413293
610	0.18170681
611	0.1812565976
612	0.1808883387
613	0.1802401636
614	0.1799510135
615	0.1796482417
616	0.1794173481
617	0.1790939763
618	0.1786101458
619	0.1782903149
620	0.1777940915
621	0.1775516288
622	0.1771477092
623	0.1768049703
624	0.1763110992
625	0.1758729277
626	0.1756725763
627	0.1753596642
628	0.1751632232
629	0.1747319094
630	0.1742559333
631	0.1740980634
632	0.1736909432
633	0.1733781241
634	0.1731913568
635	0.1729066557
636	0.1724892355
637	0.1721802615
638	0.1720130502
639	0.1715830761
640	0.1712569864
641	0.1709735867
642	0.170798066
643	0.170639389
644	0.1702333251
645	0.1697705397
646	0.1694016395
647	0.1691687796
648	0.1689145857
649	0.1687278415
650	0.1685619673
651	0.1681888447
652	0.1677350297
653	0.1675117245
654	0.1672815459
655	0.1670765796
656	0.1668205866
657	0.1665114295
658	0.16636882
659	0.1660596371
660	0.1658472872
661	0.1655477744
662	0.1653359045
663	0.164828121
664	0.1645380121
665	0.1641623756
666	0.1639745759
667	0.1637785419
668	0.1636309963
669	0.1633615069
670	0.1629762228
671	0.1627013743
672	0.1624683868
673	0.1622733642
674	0.1620150196
675	0.1617066052
676	0.1615150145
677	0.1612812986
678	0.1610319942
679	0.1607951798
680	0.1605301707
681	0.1601973003
682	0.1598136339
683	0.1596660267
684	0.1595361126
685	0.1594082559
686	0.1589492492
687	0.1586792932
688	0.1583899502
689	0.1580425788
690	0.1579450435
691	0.1577544421
692	0.1574822526
693	0.157178138
694	0.156944188
695	0.1565208435
696	0.1561924715
697	0.1559880334
698	0.1558143397
699	0.1556156912
700	0.1554566438
701	0.1551784651
702	0.1549076873
703	0.1546605733
704	0.1543990747
705	0.1541427369
706	0.1538218467
707	0.153588225
708	0.153161289
709	0.1528376561
710	0.1524853527
711	0.1523457821
712	0.1520885447
713	0.1519124345
714	0.1517482676
715	0.1514221322
716	0.1511952392
717	0.1510482608
718	0.1507699338
719	0.1504778872
720	0.150239238
721	0.1500869843
722	0.1498574344
723	0.1497126637
724	0.1494887046
725	0.1491718605
726	0.1488311744
727	0.1486699047
728	0.1484310519
729	0.148287176
730	0.1479815322
731	0.1477333326
732	0.1476234714
733	0.1474268863
734	0.1471468288
735	0.1467397258
736	0.1465983475
737	0.1462701277
738	0.1458919492
739	0.1457285719
740	0.1455623223
741	0.1454053023
742	0.144956283
743	0.1447310164
744	0.144483392
745	0.1442602921
746	0.1438779682
747	0.143588897
748	0.1434279653
749	0.1432332761
750	0.1430700553
751	0.1428226785
752	0.142636349
753	0.1424234203
754	0.1423296435
755	0.1421737128
756	0.1420893034
757	0.1418574813
758	0.1416771987
759	0.1414560213
760	0.1412513088
761	0.1411042246
762	0.1408272899
763	0.1406508663
764	0.1404286401
765	0.1402185568
766	0.1400459136
767	0.1398193154
768	0.1396800571
769	0.1395578635
770	0.1394119002
771	0.1392909733
772	0.1389390971
773	0.1387821849
774	0.1385295649
775	0.1383572774
776	0.1382881552
777	0.1381434143
778	0.1378728811
779	0.1375690014
780	0.1374521566
781	0.1372174229
782	0.1370272198
783	0.1368916219
784	0.1367576467
785	0.1363011299
786	0.1360356555
787	0.1357783685
788	0.1354835478
789	0.1351450693
790	0.1348617992
791	0.1347056422
792	0.1345204998
793	0.1342047287
794	0.1340060133
795	0.1338711995
796	0.1336400918
797	0.1335552571
798	0.1334929392
799	0.1333012969
800	0.1330299941
801	0.1328202633
802	0.1326796108
803	0.1324170485
804	0.1321702179
805	0.1319037626
806	0.1317603771
807	0.1315838877
808	0.1315314485
809	0.1313722551
810	0.1312452335
811	0.130973424
812	0.1307449475
813	0.1305229608
814	0.1302702137
815	0.1300729122
816	0.1299265376
817	0.1297930738
818	0.1297278967
819	0.1296337292
820	0.1294443461
821	0.129261917
822	0.1290595106
823	0.1289208014
824	0.1289194474
825	0.1287893691
826	0.1285569978
827	0.1284929566
828	0.1282529768
829	0.1279933111
830	0.1278131831
831	0.1276651457
832	0.1274208034
833	0.1272541352
834	0.1270272805
835	0.126884959
836	0.1267193745
837	0.1264952993
838	0.1263214216
839	0.126066461
840	0.1258303729
841	0.1256648803
842	0.1254803741
843	0.1251148112
844	0.1248822746
845	0.1246059084
846	0.124434111
847	0.124222742
848	0.1240262719
849	0.1239394683
850	0.1237821939
851	0.1235577768
852	0.1234202943
853	0.1232888846
854	0.1230672797
855	0.1228569377
856	0.1225136517
857	0.1224301223
858	0.1222880998
859	0.1221340097
860	0.1219507378
861	0.1216095375
862	0.1214007531
863	0.1212176986
864	0.1208563282
865	0.1206532703
866	0.1204546122
867	0.1202595026
868	0.1200674193
869	0.119900903
870	0.1195917529
871	0.1193153202
872	0.119261818
873	0.1190902755
874	0.1188681158
875	0.1185902541
876	0.1184070197
877	0.1182923622
878	0.1180262795
879	0.1178535945
880	0.1177678251
881	0.1177189636
882	0.1175721359
883	0.1174897072
884	0.1173922478
885	0.1171972034
886	0.1170680084
887	0.1168705144
888	0.1167116424
889	0.11652678
890	0.1163479125
891	0.1161159885
892	0.1159447251
893	0.1157877703
894	0.1157158876
895	0.115570238
896	0.11534961
897	0.1151734685
898	0.1148535014
899	0.1145712537
900	0.1144068356
901	0.114213277
902	0.1140739884
903	0.113915833
904	0.1137462223
905	0.1134969757
906	0.1133531508
907	0.1131673804
908	0.1129832509
909	0.1128510796
910	0.1127082432
911	0.1125664489
912	0.1124020245
913	0.1122707361
914	0.112206868
915	0.1121290051
916	0.1119211989
917	0.1115716707
918	0.1112108112
919	0.111071662
920	0.1109374248
921	0.1107573347
922	0.1106056529
923	0.1104137362
924	0.1102992832
925	0.110107498
926	0.1099539052
927	0.109712076
928	0.1095520752
929	0.1093876424
930	0.1092557397
931	0.1091414374
932	0.1089628638
933	0.1088098966
934	0.1087177456
935	0.1084720581
936	0.1082171884
937	0.1080267972
938	0.1078278037
939	0.1076397215
940	0.1074981587
941	0.1074084196
942	0.1073495319
943	0.1070635719
944	0.1069178466
945	0.1068106013
946	0.1067531991
947	0.1066719094
948	0.1064937944
949	0.1063940612
950	0.1062685941
951	0.106164603
952	0.1061099172
953	0.1060052598
954	0.105918985
955	0.1058485522
956	0.1056880173
957	0.1055613659
958	0.1054215984
959	0.1054213293
960	0.1053331007
961	0.1051750529
962	0.1049307153
963	0.1047552236
964	0.1046708732
965	0.1044786047
966	0.1043153613
967	0.1041305173
968	0.104030904
969	0.1038807302
970	0.1037014169
971	0.1035144315
972	0.1032988955
973	0.1031977347
974	0.1031319162
975	0.1030012389
976	0.1029042421
977	0.1028260336
978	0.1027253566
979	0.1026128519
980	0.1023984711
981	0.1022843131
982	0.1021547955
983	0.1019736299
984	0.1018985416
985	0.1017847215
986	0.1016165509
987	0.1015382836
988	0.1014192028
989	0.1012991453
990	0.1010876868
991	0.1008251311
992	0.1006121389
993	0.1005280533
994	0.1004377466
995	0.1003640951
996	0.1002523818
997	0.1001976761
998	0.1001019225
999	0.1000108462
