iter	Passed	Remaining
635	3374	1931
636	3379	1925
637	3383	1920
638	3388	1914
639	3393	1908
640	3399	1903
641	3404	1898
642	3408	1892
643	3413	1886
644	3418	1881
645	3422	1875
646	3428	1870
647	3433	1865
648	3437	1859
649	3442	1853
650	3447	1847
651	3451	1842
652	3456	1836
653	3461	1831
654	3465	1825
655	3470	1819
656	3475	1814
657	3480	1809
658	3485	1803
659	3489	1797
660	3494	1792
661	3498	1786
662	3503	1780
663	3507	1774
664	3511	1769
665	3516	1763
666	3520	1757
667	3525	1752
668	3529	1746
669	3534	1740
670	3538	1735
671	3543	1729
672	3547	1723
673	3552	1718
674	3556	1712
675	3560	1706
676	3565	1701
677	3570	1695
678	3574	1689
679	3579	1684
680	3584	1679
681	3589	1673
682	3594	1668
683	3599	1662
684	3603	1656
685	3607	1651
686	3612	1645
687	3616	1640
688	3621	1634
689	3626	1629
690	3630	1623
691	3635	1618
692	3640	1612
693	3644	1607
694	3649	1601
695	3653	1595
696	3658	1590
697	3662	1584
698	3667	1579
699	3671	1573
700	3676	1568
701	3680	1562
702	3685	1556
703	3690	1551
704	3694	1545
705	3698	1540
706	3703	1534
707	3708	1529
708	3712	1523
709	3717	1518
710	3722	1513
711	3726	1507
712	3731	1502
713	3736	1496
714	3741	1491
715	3745	1485
716	3750	1480
717	3754	1474
718	3761	1469
719	3765	1464
720	3770	1459
721	3775	1453
722	3779	1448
723	3784	1442
724	3789	1437
725	3793	1431
726	3798	1426
727	3802	1420
728	3807	1415
729	3811	1409
730	3816	1404
731	3821	1399
732	3825	1393
733	3830	1388
734	3836	1383
735	3840	1377
736	3844	1371
737	3849	1366
738	3854	1361
739	3858	1355
740	3862	1350
741	3868	1344
742	3872	1339
743	3877	1334
744	3882	1328
745	3886	1323
746	3890	1317
747	3895	1312
748	3900	1307
749	3904	1301
750	3909	1296
751	3914	1291
752	3919	1285
753	3923	1280
754	3928	1274
755	3932	1269
756	3936	1263
757	3941	1258
758	3946	1253
759	3950	1247
760	3955	1242
761	3959	1236
762	3964	1231
763	3969	1226
764	3973	1220
765	3978	1215
766	3982	1209
767	3986	1204
768	3991	1198
769	3995	1193
770	4000	1188
771	4005	1182
772	4009	1177
773	4014	1172
774	4019	1166
775	4023	1161
776	4027	1156
777	4033	1150
778	4038	1145
779	4042	1140
780	4047	1135
781	4052	1129
782	4056	1124
783	4061	1118
784	4065	1113
785	4070	1108
786	4074	1102
787	4079	1097
788	4083	1092
789	4088	1086
790	4093	1081
791	4099	1076
792	4103	1071
793	4108	1065
794	4112	1060
795	4117	1055
796	4122	1050
797	4127	1044
798	4131	1039
799	4135	1033
800	4140	1028
801	4144	1023
802	4149	1017
803	4153	1012
804	4158	1007
805	4163	1002
806	4167	996
807	4172	991
808	4176	986
809	4180	980
810	4185	975
811	4190	970
812	4194	964
813	4199	959
814	4204	954
815	4208	948
816	4212	943
817	4217	938
818	4222	933
819	4226	927
820	4230	922
821	4235	917
822	4240	911
823	4244	906
824	4247	900
825	4251	895
826	4255	890
827	4260	884
828	4265	879
829	4269	874
830	4275	869
831	4280	864
832	4284	858
833	4288	853
834	4293	848
835	4297	843
836	4302	837
837	4306	832
838	4311	827
839	4316	822
840	4320	816
841	4325	811
842	4329	806
843	4334	801
844	4338	795
845	4343	790
846	4347	785
847	4352	780
848	4357	774
849	4361	769
850	4366	764
851	4371	759
852	4375	754
853	4380	748
854	4384	743
855	4388	738
856	4393	733
857	4398	727
858	4402	722
859	4407	717
860	4411	712
861	4416	707
862	4420	701
863	4425	696
864	4430	691
865	4435	686
866	4439	681
867	4444	675
868	4448	670
869	4453	665
870	4457	660
871	4462	655
872	4467	649
873	4472	644
874	4477	639
875	4481	634
876	4486	629
877	4490	623
878	4495	618
879	4499	613
880	4504	608
881	4508	603
882	4513	598
883	4517	592
884	4522	587
885	4527	582
886	4531	577
887	4536	572
888	4540	566
889	4545	561
890	4550	556
891	4555	551
892	4559	546
893	4564	541
894	4568	535
895	4573	530
896	4578	525
897	4582	520
898	4587	515
899	4591	510
900	4596	505
901	4600	499
902	4605	494
903	4610	489
904	4614	484
905	4619	479
906	4623	474
907	4628	468
908	4633	463
909	4637	458
910	4642	453
911	4646	448
912	4651	443
913	4656	438
914	4660	432
915	4664	427
916	4669	422
917	4674	417
918	4679	412
919	4684	407
920	4689	402
921	4693	397
922	4698	391
923	4702	386
924	4707	381
925	4711	376
926	4716	371
927	4721	366
928	4726	361
929	4731	356
930	4736	351
931	4741	345
932	4745	340
933	4750	335
934	4755	330
935	4759	325
936	4764	320
937	4768	315
938	4773	310
939	4778	304
940	4783	299
941	4787	294
942	4792	289
943	4796	284
944	4801	279
945	4806	274
946	4810	269
947	4815	264
948	4820	259
949	4824	253
950	4829	248
951	4833	243
952	4838	238
953	4842	233
954	4846	228
955	4851	223
956	4855	218
957	4860	213
958	4865	208
959	4868	202
960	4871	197
961	4876	192
962	4882	187
963	4886	182
964	4892	177
965	4896	172
966	4901	167
967	4906	162
968	4911	157
969	4916	152
970	4920	146
971	4925	141
972	4938	137
973	4942	131
974	4947	126
975	4951	121
976	4955	116
977	4959	111
978	4964	106
979	4968	101
980	4972	96
981	4977	91
982	4981	86
983	4986	81
984	4990	76
985	4995	70
986	5000	65
987	5005	60
988	5009	55
989	5014	50
990	5019	45
991	5023	40
992	5028	35
993	5033	30
994	5037	25
995	5041	20
996	5046	15
997	5050	10
998	5054	5
999	5060	0
